Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
153639433,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,0,6,True
153639434,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639435,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639436,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639437,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639438,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,2,6,False
153639438,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,0,6,True
153639439,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,0,6,True
153639440,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,1,6,True
153639441,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,2,6,False
153639442,Work,Atom,0,2,6,True
153639443,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start/#listening-through-the-sd,0,2,6,True
153639444,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,0,6,True
153639445,Work,Google Chrome :: https://stackoverflow.com/questions/1683531/how-to-import-existing-git-repository-into-anothe,37,2,6,True
153639446,Work,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=1YSTW7CaA4nOvgT_9b-4Dg&q=spotify+listener+to+change+in+song+developer&oq=spotify+listener+to+change+in+song+developer&gs_l=psy-ab.3...4586.5887.0.6090.10.10.0.0.0.0.133.873.6j4.10.0....0...1c.1.64.psy-ab..0.9.818...33i160k1j33i21k1j33i13i21k1.0.7lCpAT_58k,11,1,6,True
153639447,Work,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=1YSTW7CaA4nOvgT_9b-4Dg&q=spotify+listener+to+change+in+song+developer&oq=spotify+listener+to+change+in+song+developer&gs_l=psy-ab.3...4586.5887.0.6090.10.10.0.0.0.0.133.873.6j4.10.0....0...1c.1.64.psy-ab..0.9.818...33i160k1j33i21k1j33i13i21k1.0.7lCpAT_58k,0,0,6,True
